t (s),u (deg),y (deg),current (A)
0.013200,-0.096351,-0.175171,0.085907
0.013250,-0.061803,-0.169067,0.081940
0.013300,-0.025067,-0.153809,0.079803
0.013350,0.012558,-0.134277,0.069580
0.013400,0.049738,-0.111084,0.060730
0.013450,0.085156,-0.083008,0.047913
0.013500,0.117557,-0.053711,0.032196
0.013550,0.145794,-0.015869,0.014038
0.013600,0.168866,0.014648,-0.001526
0.013650,0.185955,0.053101,-0.020294
0.013700,0.196457,0.083618,-0.032043
0.013750,0.200000,0.115356,-0.045319
0.013800,0.196457,0.137329,-0.054779
0.013850,0.185955,0.160522,-0.064087
0.013900,0.168866,0.176392,-0.074005
0.013950,0.145794,0.187988,-0.078278
0.014000,0.117557,0.189819,-0.081482
0.014050,0.085156,0.187378,-0.081635
0.014100,0.049738,0.176392,-0.075226
0.014150,0.012558,0.162964,-0.064392
0.014200,-0.025067,0.141602,-0.056610
0.014250,-0.061803,0.117187,-0.043945
0.014300,-0.096351,0.088501,-0.033722
0.014350,-0.127485,0.054321,-0.016327
0.014400,-0.154103,0.019531,-0.000916
0.014450,-0.175261,-0.011597,0.016327
0.014500,-0.190211,-0.050049,0.030670
0.014550,-0.198423,-0.076904,0.043030
0.014600,-0.199605,-0.109863,0.057983
0.014650,-0.193717,-0.136719,0.072937
0.014700,-0.180965,-0.150757,0.079956
0.014750,-0.161803,-0.165405,0.084381
0.014800,-0.136909,-0.175781,0.087738
0.014850,-0.107165,-0.173950,0.087280
0.014900,-0.073625,-0.173950,0.087738
0.014950,-0.037476,-0.159302,0.082550
0.015000,-0.000000,-0.143433,0.072937
0.015050,0.037476,-0.119629,0.067596
0.015100,0.073625,-0.090942,0.050659
0.015150,0.107165,-0.064697,0.034180
0.015200,0.136909,-0.027466,0.017548
0.015250,0.161803,0.001221,0.008087
0.015300,0.180965,0.039673,-0.014954
0.015350,0.193717,0.070801,-0.029449
0.015400,0.199605,0.101929,-0.042267
0.015450,0.198423,0.131226,-0.052490
0.015500,0.190211,0.155029,-0.061188
0.015550,0.175261,0.169678,-0.073242
0.015600,0.154103,0.185547,-0.079346
0.015650,0.127485,0.187988,-0.076447
0.015700,0.096351,0.190430,-0.079651
0.015750,0.061803,0.181885,-0.076752
0.015800,0.025067,0.168457,-0.073242
0.015850,-0.012558,0.150146,-0.061340
0.015900,-0.049738,0.123291,-0.046844
0.015950,-0.085156,0.096436,-0.035095
0.016000,-0.117557,0.064087,-0.020599
0.016050,-0.145794,0.031128,-0.002594
0.016100,-0.168866,-0.004272,0.010376
0.016150,-0.185955,-0.037231,0.027313
0.016200,-0.196457,-0.068970,0.039978
0.016250,-0.200000,-0.100708,0.051270
0.016300,-0.196457,-0.126343,0.065918
0.016350,-0.185955,-0.145874,0.077972
0.016400,-0.168866,-0.164795,0.086517
0.016450,-0.145794,-0.171509,0.084839
0.016500,-0.117557,-0.177002,0.086060
0.016550,-0.085156,-0.173950,0.089569
0.016600,-0.049738,-0.165405,0.086670
0.016650,-0.012558,-0.148926,0.082550
0.016700,0.025067,-0.127563,0.065613
0.016750,0.061803,-0.103760,0.050049
0.016800,0.096351,-0.070801,0.038605
0.016850,0.127485,-0.041504,0.025177
0.016900,0.154103,-0.006104,0.007324
0.016950,0.175261,0.029297,-0.005341
0.017000,0.190211,0.062256,-0.023041
0.017050,0.198423,0.093384,-0.037689
0.017100,0.199605,0.121460,-0.051880
0.017150,0.193717,0.150146,-0.061340
0.017200,0.180965,0.167236,-0.068207
0.017250,0.161803,0.180054,-0.072937
0.017300,0.136909,0.189819,-0.076904
0.017350,0.107165,0.189209,-0.080566
0.017400,0.073625,0.186157,-0.076294
0.017450,0.037476,0.172119,-0.073700
0.017500,-0.000000,0.156250,-0.066986
0.017550,-0.037476,0.133667,-0.056610
0.017600,-0.073625,0.103149,-0.034790
0.017650,-0.107165,0.075684,-0.023346
0.017700,-0.136909,0.042725,-0.009003
0.017750,-0.161803,0.009155,-0.000610
0.017800,-0.180965,-0.021362,0.020142
0.017850,-0.193717,-0.059814,0.036469
0.017900,-0.199605,-0.090332,0.050354
0.017950,-0.198423,-0.116577,0.064697
0.018000,-0.190211,-0.139771,0.078735
0.018050,-0.175261,-0.159302,0.082397
0.018100,-0.154103,-0.173340,0.084534
0.018150,-0.127485,-0.176392,0.088959
0.018200,-0.096351,-0.175781,0.088196
0.018250,-0.061803,-0.169067,0.083466
0.018300,-0.025067,-0.156860,0.081329
0.018350,0.012558,-0.137329,0.073090
0.018400,0.049738,-0.109253,0.058899
0.018450,0.085156,-0.084839,0.046539
0.018500,0.117557,-0.052490,0.028534
0.018550,0.145794,-0.017090,0.014801
0.018600,0.168866,0.017700,0.000458
0.018650,0.185955,0.051270,-0.017853
0.018700,0.196457,0.083008,-0.034027
0.018750,0.200000,0.114136,-0.050354
0.018800,0.196457,0.137939,-0.057068
0.018850,0.185955,0.159912,-0.063171
0.018900,0.168866,0.175171,-0.072174
0.018950,0.145794,0.184937,-0.080414
0.019000,0.117557,0.191650,-0.082550
0.019050,0.085156,0.189209,-0.079193
0.019100,0.049738,0.181274,-0.075989
0.019150,0.012558,0.163574,-0.067444
0.019200,-0.025067,0.141602,-0.051270
0.019250,-0.061803,0.117798,-0.040894
0.019300,-0.096351,0.087280,-0.036469
0.019350,-0.127485,0.055542,-0.019379
0.019400,-0.154103,0.021973,0.001526
0.019450,-0.175261,-0.014648,0.016632
0.019500,-0.190211,-0.046387,0.030975
0.019550,-0.198423,-0.082397,0.047150
0.019600,-0.199605,-0.107422,0.057831
0.019650,-0.193717,-0.134888,0.071564
0.019700,-0.180965,-0.150757,0.077515
0.019750,-0.161803,-0.167236,0.086060
0.019800,-0.136909,-0.173340,0.090027
0.019850,-0.107165,-0.175171,0.087738
0.019900,-0.073625,-0.172119,0.084381
0.019950,-0.037476,-0.158691,0.080261
0.020000,-0.000000,-0.145874,0.077362
0.020050,0.037476,-0.122070,0.064697
0.020100,0.073625,-0.097656,0.054169
0.020150,0.107165,-0.063477,0.037689
0.020200,0.136909,-0.031738,0.015411
0.020250,0.161803,0.002441,-0.001068
0.020300,0.180965,0.040894,-0.012054
0.020350,0.193717,0.070801,-0.026398
0.020400,0.199605,0.103149,-0.042419
0.020450,0.198423,0.131836,-0.054779
0.020500,0.190211,0.153198,-0.064850
0.020550,0.175261,0.172119,-0.070190
0.020600,0.154103,0.181885,-0.076447
0.020650,0.127485,0.187988,-0.081787
0.020700,0.096351,0.189209,-0.077362
0.020750,0.061803,0.179443,-0.075378
0.020800,0.025067,0.170288,-0.068970
0.020850,-0.012558,0.147705,-0.061646
0.020900,-0.049738,0.126343,-0.050812
0.020950,-0.085156,0.095825,-0.034637
0.021000,-0.117557,0.067139,-0.021820
0.021050,-0.145794,0.029907,-0.006409
0.021100,-0.168866,-0.001831,0.010376
0.021150,-0.185955,-0.037231,0.025787
0.021200,-0.196457,-0.068970,0.038910
0.021250,-0.200000,-0.100098,0.058136
0.021300,-0.196457,-0.125122,0.070496
0.021350,-0.185955,-0.148926,0.080566
0.021400,-0.168866,-0.161743,0.083618
0.021450,-0.145794,-0.173950,0.082245
0.021500,-0.117557,-0.175781,0.087891
0.021550,-0.085156,-0.172729,0.087433
0.021600,-0.049738,-0.166016,0.084534
0.021650,-0.012558,-0.148315,0.074158
0.021700,0.025067,-0.128174,0.067444
0.021750,0.061803,-0.101318,0.053864
0.021800,0.096351,-0.075073,0.045166
0.021850,0.127485,-0.039673,0.024567
0.021900,0.154103,-0.007935,0.010986
0.021950,0.175261,0.027466,-0.007324
0.022000,0.190211,0.061646,-0.023499
0.022050,0.198423,0.095825,-0.037842
0.022100,0.199605,0.121460,-0.047913
0.022150,0.193717,0.148926,-0.063477
0.022200,0.180965,0.165405,-0.071259
0.022250,0.161803,0.181885,-0.077209
0.022300,0.136909,0.186768,-0.080109
0.022350,0.107165,0.188599,-0.077057
0.022400,0.073625,0.183716,-0.075531
0.022450,0.037476,0.171509,-0.072327
0.022500,0.000000,0.156860,-0.066681
0.022550,-0.037476,0.135498,-0.055389
0.022600,-0.073625,0.107422,-0.038147
0.022650,-0.107165,0.076294,-0.022583
0.022700,-0.136909,0.041504,-0.011292
0.022750,-0.161803,0.010376,0.004120
0.022800,-0.180965,-0.025024,0.018005
0.022850,-0.193717,-0.059814,0.033875
0.022900,-0.199605,-0.089722,0.050659
0.022950,-0.198423,-0.116577,0.066833
0.023000,-0.190211,-0.142822,0.076294
0.023050,-0.175261,-0.157471,0.082550
0.023100,-0.154103,-0.169067,0.084839
0.023150,-0.127485,-0.175781,0.087738
0.023200,-0.096351,-0.175171,0.089417
0.023250,-0.061803,-0.169678,0.084381
0.023300,-0.025067,-0.153198,0.076752
0.023350,0.012558,-0.137939,0.070801
0.023400,0.049738,-0.111694,0.061188
0.023450,0.085156,-0.084839,0.047455
0.023500,0.117557,-0.054321,0.033417
0.023550,0.145794,-0.020142,0.017395
0.023600,0.168866,0.016479,-0.004578
0.023650,0.185955,0.049438,-0.020294
0.023700,0.196457,0.084229,-0.036621
0.023750,0.200000,0.110474,-0.046082
0.023800,0.196457,0.139160,-0.057220
0.023850,0.185955,0.158081,-0.064697
0.023900,0.168866,0.176392,-0.072784
0.023950,0.145794,0.186157,-0.075836
0.024000,0.117557,0.189209,-0.079956
0.024050,0.085156,0.187378,-0.084229
0.024100,0.049738,0.177612,-0.076904
0.024150,0.012558,0.163574,-0.064087
0.024200,-0.025067,0.144043,-0.052795
0.024250,-0.061803,0.116577,-0.047913
0.024300,-0.096351,0.088501,-0.036163
0.024350,-0.127485,0.051270,-0.018768
0.024400,-0.154103,0.018921,0.001984
0.024450,-0.175261,-0.012817,0.019684
0.024500,-0.190211,-0.051270,0.036163
0.024550,-0.198423,-0.079346,0.048065
0.024600,-0.199605,-0.111694,0.057526
0.024650,-0.193717,-0.130005,0.064850
0.024700,-0.180965,-0.153809,0.078125
0.024750,-0.161803,-0.164185,0.085297
0.024800,-0.136909,-0.172729,0.089264
0.024850,-0.107165,-0.178223,0.093842
0.024900,-0.073625,-0.170898,0.091858
0.024950,-0.037476,-0.162354,0.081940
0.025000,0.000000,-0.144043,0.068207
0.025050,0.037476,-0.122681,0.062103
0.025100,0.073625,-0.093384,0.049744
0.025150,0.107165,-0.061035,0.034485
0.025200,0.136909,-0.029907,0.021057
0.025250,0.161803,0.004883,0.005951
0.025300,0.180965,0.039062,-0.010834
0.025350,0.193717,0.072021,-0.025787
0.025400,0.199605,0.104370,-0.045624
0.025450,0.198423,0.130005,-0.054626
0.025500,0.190211,0.155029,-0.063934
0.025550,0.175261,0.170288,-0.070801
0.025600,0.154103,0.184326,-0.080719
0.025650,0.127485,0.189819,-0.082550
0.025700,0.096351,0.187378,-0.078278
0.025750,0.061803,0.181885,-0.071869
0.025800,0.025067,0.166626,-0.064850
0.025850,-0.012558,0.151367,-0.063782
0.025900,-0.049738,0.125122,-0.053253
0.025950,-0.085156,0.098877,-0.040131
0.026000,-0.117557,0.065308,-0.018921
0.026050,-0.145794,0.031738,-0.002441
0.026100,-0.168866,-0.001221,0.011749
0.026150,-0.185955,-0.037842,0.027161
0.026200,-0.196457,-0.068359,0.041656
0.026250,-0.200000,-0.098267,0.052948
0.026300,-0.196457,-0.123901,0.066833
0.026350,-0.185955,-0.147095,0.079956
0.026400,-0.168866,-0.162964,0.083466
0.026450,-0.145794,-0.170288,0.086670
0.026500,-0.117557,-0.177002,0.085907
0.026550,-0.085156,-0.174561,0.089264
0.026600,-0.049738,-0.160522,0.084229
0.026650,-0.012558,-0.150146,0.074921
0.026700,0.025067,-0.126953,0.067596
0.026750,0.061803,-0.104980,0.055695
0.026800,0.096351,-0.074463,0.045624
0.026850,0.127485,-0.042114,0.026245
0.026900,0.154103,-0.007324,0.005493
0.026950,0.175261,0.029907,-0.012512
0.027000,0.190211,0.060425,-0.024109
0.027050,0.198423,0.093994,-0.036926
0.027100,0.199605,0.125122,-0.046234
0.027150,0.193717,0.145264,-0.058594
0.027200,0.180965,0.165405,-0.066223
